t_tot_center,best_t_tot,best_amp,best_w_d,best_value,amp_idx,wd_idx,amp_lower,amp_upper,w_d_lower,w_d_upper,t_tot_lower,t_tot_upper
77.5,76.47693644670497,13.196624650752065,0.003452189699302856,0.3638266522797181,1,1,10.666666666666666,13.333333333333332,0.00314,0.0034799999999999996,76.25,78.75
97.5,96.92291850658867,15.999989119483846,0.003520241046869148,0.8603447088824628,2,2,13.333333333333332,16.0,0.0034799999999999996,0.0038199999999999996,96.25,98.75
90.0,89.76131243928533,19.496773727200946,0.004097319502053993,0.12960552893998395,4,3,18.666666666666664,21.333333333333332,0.0038199999999999996,0.00416,88.75,91.25
85.0,85.42821424873802,16.757773746284855,0.004159972500198233,0.4067020598466101,3,3,16.0,18.666666666666664,0.0038199999999999996,0.00416,83.75,86.25
82.5,82.39602644435962,21.522871010162223,0.003785956111946152,0.10921668928902459,5,2,21.333333333333332,24.0,0.0034799999999999996,0.0038199999999999996,81.25,83.75
75.0,74.60067178913562,21.350972592906317,0.0034604291590588925,0.010476246170696507,5,1,21.333333333333332,24.0,0.00314,0.0034799999999999996,73.75,76.25
72.5,71.85354331038218,18.58173703192094,0.003097624797645872,0.02067118927190515,3,0,16.0,18.666666666666664,0.0028,0.00314,71.25,73.75
67.5,66.3914674932059,19.711019473996803,0.0031277810980421534,0.0022364202452378663,4,0,18.666666666666664,21.333333333333332,0.0028,0.00314,66.25,68.75
50.0,48.92587709023889,11.543525406760388,0.0038687042558532402,0.037501728862873035,1,3,10.666666666666666,13.333333333333332,0.0038199999999999996,0.00416,48.75,51.25
60.0,58.99134530358968,15.080094728435457,0.0031760666760869112,0.016552654155200512,2,1,13.333333333333332,16.0,0.00314,0.0034799999999999996,58.75,61.25
67.5,66.25000000108531,10.666666665914395,0.004192811545886833,0.9098815098860974,0,4,8.0,10.666666666666666,0.00416,0.0045,66.25,68.75
102.5,102.46054831276267,18.310261498661532,0.0035511991548622876,0.3607608209393846,3,2,16.0,18.666666666666664,0.0034799999999999996,0.0038199999999999996,101.25,103.75
117.5,118.74999998863296,11.1579340326665,0.0030002883045053643,1.767510120215579,1,0,10.666666666666666,13.333333333333332,0.0028,0.00314,116.25,118.75
115.0,113.75000012407068,17.09901276881464,0.004160000004214855,0.9910074225027977,3,4,16.0,18.666666666666664,0.00416,0.0045,113.75,116.25
110.0,109.6908350781202,21.425975662790382,0.003362968196011756,0.20546500212374652,5,1,21.333333333333332,24.0,0.00314,0.0034799999999999996,108.75,111.25
62.5,61.73191819279471,13.282945537857154,0.004203796267201775,0.1387993636092568,1,4,10.666666666666666,13.333333333333332,0.00416,0.0045,61.25,63.75
107.5,107.3244416740393,19.079636193575077,0.003446063326422239,0.3206652357526656,4,1,18.666666666666664,21.333333333333332,0.00314,0.0034799999999999996,106.25,108.75
77.5,77.26711825490952,15.8960390889752,0.003134929233999636,0.1186737594302336,2,0,13.333333333333332,16.0,0.0028,0.00314,76.25,78.75
102.5,101.67372006708575,15.999999680059748,0.004321736629480418,1.0447519738621556,2,4,13.333333333333332,16.0,0.00416,0.0045,101.25,103.75
70.0,69.87209068881555,19.722996305523044,0.0034588688136555448,0.009243024577747118,4,1,18.666666666666664,21.333333333333332,0.00314,0.0034799999999999996,68.75,71.25
65.0,63.79612492943713,16.179063806267397,0.0032260010241256,0.019503547413810468,3,1,16.0,18.666666666666664,0.00314,0.0034799999999999996,63.75,66.25
62.5,62.467386714905565,21.351616561241848,0.0030185196827454425,0.0011195986544738094,5,0,21.333333333333332,24.0,0.0028,0.00314,61.25,63.75
100.0,98.75043836436993,10.283835715496458,0.0029549339446102393,1.7105716390820995,0,0,8.0,10.666666666666666,0.0028,0.00314,98.75,101.25
55.0,53.75004741200185,10.538447578714067,0.003886672320311745,0.24976540493232446,0,3,8.0,10.666666666666666,0.0038199999999999996,0.00416,53.75,56.25
95.0,94.08556713951492,21.41581275544058,0.003991523665349002,0.1488770525101215,5,3,21.333333333333332,24.0,0.0038199999999999996,0.00416,93.75,96.25
