t_tot_center,best_t_tot,best_amp,best_w_d,best_ramp,best_value,amp_idx,wd_idx,ramp_idx,amp_lower,amp_upper,w_d_lower,w_d_upper,ramp_lower,ramp_upper,t_tot_lower,t_tot_upper
100.0,98.7501411380918,10.666663941713129,0.0030790814599032158,0.0888441442686121,0.6835538100574448,0,0,0,8.0,10.666666666666666,0.0028,0.00314,1e-10,0.5,98.75,101.25
62.5,61.89046510009332,13.717696191639911,0.0038738081999333735,0.3248872768662095,0.054919714735721194,2,3,0,13.333333333333332,16.0,0.0038199999999999996,0.00416,1e-10,0.5,61.25,63.75
85.0,86.23350804635712,10.574464540998894,0.0034799183517070617,0.0741388350339727,0.6038848184439316,0,1,0,8.0,10.666666666666666,0.00314,0.0034799999999999996,1e-10,0.5,83.75,86.25
55.0,53.75058280504858,10.493978848839749,0.003543340048858425,0.29140745555448605,0.11765903975319725,0,2,0,8.0,10.666666666666666,0.0034799999999999996,0.0038199999999999996,1e-10,0.5,53.75,56.25
77.5,78.7499951687016,16.40850572173368,0.004156984805073602,0.1326793925014702,0.040130781898629904,3,3,0,16.0,18.666666666666664,0.0038199999999999996,0.00416,1e-10,0.5,76.25,78.75
112.5,112.48523962771654,16.47421071992901,0.0038620510927917617,0.12355477515418996,0.0011506396461956818,3,3,0,16.0,18.666666666666664,0.0038199999999999996,0.00416,1e-10,0.5,111.25,113.75
57.5,57.54961955843801,21.760160373207817,0.00299753409716403,0.342643662400939,0.03710536125082822,5,0,0,21.333333333333332,24.0,0.0028,0.00314,1e-10,0.5,56.25,58.75
120.0,120.50541343625494,21.546294367535257,0.0031190676423118006,0.13052646717663752,0.00018685709902157378,5,0,0,21.333333333333332,24.0,0.0028,0.00314,1e-10,0.5,118.75,121.25
92.5,92.48082859338338,13.062819592425203,0.004030628807645744,0.1140613008170032,0.00047856503218640005,1,3,0,10.666666666666666,13.333333333333332,0.0038199999999999996,0.00416,1e-10,0.5,91.25,93.75
55.0,53.75003040423904,10.647557344907856,0.003116620838843542,0.2324091307044751,0.009527300604252959,0,0,0,8.0,10.666666666666666,0.0028,0.00314,1e-10,0.5,53.75,56.25
95.0,96.2499871822085,10.52309213273803,0.0034799997185585873,0.07893936524483142,0.5865444652558072,0,1,0,8.0,10.666666666666666,0.00314,0.0034799999999999996,1e-10,0.5,93.75,96.25
55.0,53.75013945497035,10.586904208390969,0.0038200006635707583,0.36707072491250314,0.14204487272097582,0,3,0,8.0,10.666666666666666,0.0038199999999999996,0.00416,1e-10,0.5,53.75,56.25
62.5,61.250649919278594,10.654017039509972,0.0030125968081214233,0.29083614905485167,0.09527994389689934,0,0,0,8.0,10.666666666666666,0.0028,0.00314,1e-10,0.5,61.25,63.75
112.5,113.74998115696877,10.659382219310011,0.003139999263159015,0.0559026575670476,0.29465759427647886,0,0,0,8.0,10.666666666666666,0.0028,0.00314,1e-10,0.5,111.25,113.75
100.0,101.24997115033827,15.595037762236922,0.0033559492886054356,0.09147746460542588,0.03250450729397817,2,1,0,13.333333333333332,16.0,0.00314,0.0034799999999999996,1e-10,0.5,98.75,101.25
82.5,82.40394364749018,15.630591739859245,0.0034190003711741194,0.1880194317899025,0.20307473811888554,2,1,0,13.333333333333332,16.0,0.00314,0.0034799999999999996,1e-10,0.5,81.25,83.75
100.0,100.643131688297,17.98834455665153,0.0033668056350272158,0.12818604570656217,0.0014074104598118112,3,1,0,16.0,18.666666666666664,0.00314,0.0034799999999999996,1e-10,0.5,98.75,101.25
50.0,50.53159994635617,13.47078320903533,0.0036481303350474627,0.22158077596607725,0.01337589238664711,2,2,0,13.333333333333332,16.0,0.0034799999999999996,0.0038199999999999996,1e-10,0.5,48.75,51.25
67.5,68.7499911482476,19.81788421899589,0.003126470540418931,0.1772091611339716,0.0328015581975619,4,0,0,18.666666666666664,21.333333333333332,0.0028,0.00314,1e-10,0.5,66.25,68.75
77.5,77.43255997050825,21.668676774385034,0.004308317440541989,0.20519360530064337,0.000823269146307901,5,4,0,21.333333333333332,24.0,0.00416,0.0045,1e-10,0.5,76.25,78.75
60.0,59.93510346878511,18.895433119745654,0.0031541549743266087,0.3285645549609224,0.02053380408687652,4,1,0,18.666666666666664,21.333333333333332,0.00314,0.0034799999999999996,1e-10,0.5,58.75,61.25
85.0,84.92270592369294,18.81155251648821,0.004140044893483815,0.20552693265441532,0.00020358760568052643,4,3,0,18.666666666666664,21.333333333333332,0.0038199999999999996,0.00416,1e-10,0.5,83.75,86.25
62.5,61.25000372695413,12.522663172986618,0.0031470988803584295,0.3174735281440405,0.009709608097970376,1,1,0,10.666666666666666,13.333333333333332,0.00314,0.0034799999999999996,1e-10,0.5,61.25,63.75
90.0,90.7509573016816,21.550811314566385,0.00418942117599744,0.21953431448296093,0.00010099896850174354,5,4,0,21.333333333333332,24.0,0.00416,0.0045,1e-10,0.5,88.75,91.25
